row,merchant_id,merchant_name,segmentation
1158,,,T20
1159,,,T20
1160,,,T20
1161,,,No
1162,,,T20
1163,,,T20
1164,,,T20
1165,,,T20
1166,,,No
1167,,,T20
1168,,,No
1169,,,T20
1170,,,T20
1171,,,T20
1172,,,T20
1173,,,No
1174,,,T20
1175,,,T20
1176,,,No
1177,,,No
1178,,,No
1179,,,T20
1180,,,T20
1181,,,T20
1182,,,T20
1183,,,T20
1184,,,T20
1185,,,No
1186,,,T20
1187,,,No
1188,,,T20
1189,,,T20
1190,,,T20
1191,,,T20
1192,,,T20
1193,,,T20
1194,,,T20
1195,,,T20
1196,,,T20
1197,,,No
1198,,,T20
1199,,,T20
1200,,,T20
1201,,,T20
1202,,,T20
1203,,,T20
1204,,,T20
1205,,,T20
1206,,,T20
1207,,,No
1208,,,No
1209,,,T20
1210,,,T20
1211,,,T20
1212,,,No
1213,,,T20
1214,,,T20
1215,,,T20
1216,,,T20
1217,,,T20
1218,,,T20
1219,,,T20
1220,,,T20
1221,,,No
1222,,,T20
1223,,,T20
1224,,,T20
1225,,,No
1226,,,T20
1227,,,No
1228,,,No
1229,,,No
1230,,,T20
1231,,,No
1232,,,T20
1233,,,T20
1234,,,T20
1235,,,T20
1236,,,T20
1237,,,T20
1238,,,T20
1239,,,No
1240,,,No
1241,,,No
1242,,,T20
1243,,,T20
1244,,,T20
1245,,,T20
1246,,,No
1247,,,T20
1248,,,T20
1249,,,T20
1250,,,T20
1251,,,T20
1252,,,T20
1253,,,T20
1254,,,T20
1255,,,T20
1256,,,T20
1257,,,No
1258,,,No
1259,,,T20
1260,,,T20
1261,,,T20
1262,,,T20
1263,,,T20
1264,,,No
1265,,,No
1266,,,T20
1267,,,T20
1268,,,T20
1269,,,No
1270,,,T20
1271,,,No
1272,,,No
1273,,,No
1274,,,No
1275,,,No
1276,,,T20
1277,,,T20
1278,,,T20
1279,,,No
1280,,,No
1281,,,T20
1282,,,T20
1283,,,T20
1284,,,No
1285,,,No
1286,,,T20
1287,,,T20
1288,,,No
1289,,,T20
1290,,,T20
1291,,,T20
1292,,,T20
1293,,,T20
1294,,,No
1295,,,No
1296,,,No
1297,,,No
1298,,,T20
1299,,,T20
1300,,,No
1301,,,No
1302,,,No
1303,,,T20
1304,,,T20
1305,,,T20
1306,,,No
1307,,,No
1308,,,T20
1309,,,T20
1310,,,T20
1311,,,T20
1312,,,No
1313,,,No
1314,,,T20
1315,,,T20
1316,,,T20
1317,,,No
1318,,,T20
1319,,,T20
1320,,,No
1321,,,T20
1322,,,T20
1323,,,No
1324,,,T20
1325,,,T20
1326,,,No
1327,,,No
1328,,,No
1329,,,T20
1330,,,T20
1331,,,T20
